set_number,set_name,year_released,number_of_parts,theme_name
20008-1,Tow Truck,2009,79,Creator
20011-1,Garbage Truck,2009,74,Creator
20014-1,4 x 4 Dynamo,2010,69,Creator
20015-1,Crocodile,2010,89,Creator
30020-1,Jet,2010,43,Creator
30021-1,Parrot,2010,48,Creator
30022-1,Bee,2011,23,Creator
30023-1,Lighthouse,2011,25,Creator
30024-1,Truck,2011,56,Creator
30025-1,Clown Fish,2011,59,Creator
30026-1,Panda,2011,61,Creator
30027-1,Reindeer,2011,66,Creator
30180-1,Twin Prop,2012,45,Creator
30181-1,Helicopter,2012,52,Creator
30183-1,Little Car,2013,50,Creator
30184-1,Little Helicopter,2013,56,Creator
30185-1,Little Eagle,2013,48,Creator
30187-1,Fast Car,2014,56,Creator
30188-1,Cute Kitten,2014,54,Creator
30189-1,Transport Plane,2014,49,Creator
30283-1,Off-Road,2015,43,Creator
30284-1,Tractor,2015,51,Creator
30285-1,Tiger,2015,73,Creator
30471-1,Helicopter,2016,47,Creator
30472-1,Parrot,2016,43,Creator
30475-1,Off Roader,2017,33,Creator
30476-1,Happy Turtle,2017,33,Creator
30477-1,Colorful Chameleon,2017,53,Creator
30540-1,Yellow Flyer,2018,43,Creator
30565-1,Birthday Clown,2021,59,Creator
30572-1,Race Car,2019,68,Creator
30575-1,Train,2020,59,Creator
30577-1,Mega Muscle Car,2021,63,Creator
30594-1,Rock Monster Truck,2022,54,Creator
30642-1,Birthday Train,2023,58,Creator
30644-1,Vintage Car,2023,59,Creator
30645-1,Snowman,2023,78,Creator
3598-1,XXL 2000 Canister,2005,2000,Creator
40025-1,Yellow Cab,2012,43,Creator
40073-1,Panda,2013,70,Creator
40078-1,Hot Dog Cart,2013,39,Creator
40079-1,Mini VW T1 Camper Van,2013,76,Creator
40108-1,Balloon Cart,2014,66,Creator
40109-1,MINI Cooper Mini Model,2014,59,Creator
40140-1,Flower Cart,2015,75,Creator
4014-1,Creator Exclusive,2003,500,Creator
40220-1,London Bus,2016,118,Creator
40221-1,Fountain,2016,105,Creator
4023-1,Fun and Adventure,2003,55,Creator
40252-1,Mini VW Beetle,2017,141,Creator
4026-1,"Create Your Dreams {Canister, blue top}",2003,100,Creator
4027-1,"Build and Imagine {canister, red top}",2003,100,Creator
4028-1,World of Bricks {Blue Bucket},2003,500,Creator
4029-1,Build with Bricks Bucket {Red Bucket},2003,500,Creator
40468-1,Yellow Taxi,2021,124,Creator
40469-1,Tuk Tuk,2021,155,Creator
40488-1,Coffee Cart,2021,149,Creator
40517-1,Vespa,2022,118,Creator
40518-1,High-Speed Train,2022,284,Creator
40519-1,New York Postcard,2022,253,Creator
40568-1,Paris Postcard,2022,213,Creator
40569-1,London Postcard,2022,277,Creator
40644-1,Pinata,2023,206,Creator
40650-1,Land Rover Classic Defender,2023,150,Creator
40651-1,Australia Postcard,2023,191,Creator
40654-1,Beijing Postcard,2022,276,Creator
4278-1,Blue Tub,2003,1000,Creator
4279-1,CREATOR Strata Red {Red Tub},2003,1002,Creator
4400-1,Creations and Bricks {Red Tub},2003,705,Creator
4405-1,Large Creator Bucket,2003,1305,Creator
4406-1,Buildings,2004,506,Creator
4407-1,Transportation,2004,302,Creator
4408-1,Animals,2004,202,Creator
4410-1,Build and Create,2004,500,Creator
4411-1,Blue Strata XXL,2004,1201,Creator
4412-1,Einfallsreiches Bauen [Imaginative Building],2004,200,Creator
4414-1,LEGO Creator Bucket,2004,500,Creator
4421-1,Box of Bricks,2005,1000,Creator
4423-1,LEGO Creator Handy Box,2005,800,Creator
4425-1,Better Building More Fun,2004,2000,Creator
4496-2,50th Anniversary Tub,2005,1000,Creator
4496-3,Fun with Building Tub - Reissue,2006,806,Creator
4497-1,Pretend and Create,2004,1000,Creator
4518-1,Creator Set,2004,805,Creator
4538-1,Special Edition,2004,201,Creator
4548431-1,Brick Tub 'Die Lego Show' - Limited Edition,2008,701,Creator
4562-1,Creator Box,2004,200,Creator
4696-1,Blue Bucket,2004,200,Creator
4780-1,Box of Bricks,2005,500,Creator
4781-1,Box of Bricks,2005,300,Creator
4782-1,Box of Bricks,2005,200,Creator
4782-2,Creator 200 Piece Box of Bricks - Individual Retail Version,2005,200,Creator
4891-1,Highway Haulers,2006,210,Creator
4892-1,Prehistoric Power,2006,380,Creator
4893-1,Revvin' Riders,2006,361,Creator
4894-1,Mythical Creatures,2006,588,Creator
4919-1,Blue Tub,2005,1500,Creator
5369-1,Creator Tub,2005,700,Creator
628-3,X-Large Gray Baseplate (Lt Bluish Gray),2003,1,Creator
66208-1,Mr. Magoriums big book (Mr. Magorium's Wonder Emporium),2007,0,Creator
66234-1,Creator Value Pack,2007,0,Creator
66373-1,Fun Favor Pack,2010,0,Creator
7271-1,Apple - Suntory Promotional,2005,9,Creator
7272-1,Pear - Suntory Promotional,2005,11,Creator
7274-1,Orange - Suntory Promotional,2005,9,Creator
7275-1,Cherry - Suntory Promotional,2005,12,Creator
7276-1,Mango - Suntory Promotional,2005,7,Creator
7278-1,Melon - Suntory Promotional,2005,9,Creator
7601-1,Go-Kart,2006,42,Creator
7602-1,Jeep,2006,46,Creator
7603-1,Dump Truck,2006,33,Creator
7604-1,Triceratops,2006,34,Creator
7605-1,Stegosaurus,2006,47,Creator
7606-1,Frog,2006,33,Creator
7607-1,Butterfly,2006,29,Creator
7608-1,Dolphin,2006,27,Creator
7609-1,Helicopter,2006,28,Creator
7610-1,Speedboat,2006,18,Creator
7796-1,House,2008,54,Creator
7797-1,Biplane,2008,37,Creator
7798-1,Stegosaurus,2008,48,Creator
7799-1,Cargo Chopper,2008,40,Creator
7803-1,Jeep,2009,38,Creator
7804-1,Green Lizard,2009,33,Creator
7805-1,Shark,2009,44,Creator
7806-1,Truck,2009,36,Creator
7807-1,Airliner,2009,34,Creator
7808-1,Yellow Airplane,2009,34,Creator
7870-1,Hans Christian Andersen Bucket,2005,503,Creator
7871-1,Whale,2007,31,Creator
7872-1,Lion,2007,57,Creator
7873-1,Airplane,2007,38,Creator
7875-1,Backhoe,2007,39,Creator
7876-1,Cement Mixer,2007,44,Creator
fruit1-1,Apple - Hong Kong Lego Show Promotional,2007,9,Creator
fruit2-1,Cherry - Hong Kong Lego Show Promotional,2007,12,Creator
fruit3-1,Grapes - Hong Kong Lego Show Promotional,2007,8,Creator
fruit4-1,Mango - Hong Kong Lego Show Promotional,2007,7,Creator
fruit5-1,Melon - Hong Kong Lego Show Promotional,2007,9,Creator
fruit6-1,Orange - Hong Kong Lego Show Promotional,2007,9,Creator
fruit7-1,Pear - Hong Kong Lego Show Promotional,2007,11,Creator
fruit8-1,Tree - Hong Kong Lego Show Promotional,2007,1,Creator
KFruit-1,Fruit Set - Hong Kong Lego Show Promotional,2007,0,Creator
,,,,Basic
3600-1,Build Your Own House Tub,2005,1201,Make & Create
4013-1,Create and Imagine,2003,1000,Make & Create
4103-2,Fun with Bricks (including Minifigures),2006,204,Make & Create
4105-2,50th Anniversary Bucket,2005,500,Make & Create
4105-3,Red Bucket,2005,487,Make & Create
4495173-1,Creative Building Set,2006,705,Make & Create
4496-1,Fun with Building Tub,2004,1000,Make & Create
4679-1,Bricks and Creations Tub,2004,0,Make & Create
4679-2,Bricks and Creations Tub - (TRU Exclusive),2005,0,Make & Create
4679a-1,Bricks and Creations Tub (Bottom Tub and its contents only),2004,1000,Make & Create
4679a-2,Bricks and Creations Tub - (TRU Exclusive) (Bottom Tub and its contents only),2005,1000,Make & Create
4679b-1,Super Value 500 LEGO Elements (Bonus box and its contents only),2004,0,Make & Create
4679b-2,Free 500 LEGO Bricks (Bonus box and its contents only),2005,500,Make & Create
5370-1,Large Make and Create Bucket with Special LEGO Bonus Bricks,2005,0,Make & Create
5370a-1,Large Make and Create Bucket with Special LEGO Bonus Bricks (Bucket and its contents only),2005,500,Make & Create
5370b-1,Large Make and Create Bucket with Special LEGO Bonus Bricks (Bonus box and its contents only),2005,201,Make & Create
5475-1,Girls Fantasy Bucket,2006,191,Make & Create
5477-1,Classic House Building,2006,233,Make & Create
5482-1,Ultimate House Building Set,2006,674,Make & Create
5483-1,"Ready, Steady Build, and Race",2006,692,Make & Create
5491-1,XXL 2000,2006,2000,Make & Create
5493-1,Emergency Rescue Box,2006,705,Make & Create
5515-1,Fun Building with LEGO Bricks,2007,240,Make & Create
5517-1,XXL 1800,2007,1800,Make & Create
5519-1,Creator Bucket,2007,485,Make & Create
5528-1,Red Cannister,2007,700,Make & Create
5537-1,Limited Edition [Blue Tub],2007,683,Make & Create
6092-1,50 Jahre In Deutschland,2006,706,Make & Create
6092-2,Special Edition Creative Building Tub,2006,706,Make & Create
6112-1,World of Bricks,2006,1004,Make & Create
6114-1,200 + 40 Special Elements,2007,242,Make & Create
6116-1,Box of Bricks,2007,604,Make & Create
6161-1,Brick Box,2007,221,Make & Create
6164-1,Rescue Building Set,2007,524,Make & Create
6166-1,Large Brick Box,2007,410,Make & Create
6167-1,Deluxe Brick Box,2006,701,Make & Create
66188-1,Creative Building Set,2007,0,Make & Create
66198-1,Value Pack,2007,0,Make & Create
66311-1,Creative Value Pack (TRU Exclusive),2010,0,Make & Create
7172-1,Apple,2007,10,Make & Create
7173-1,Pear,2007,10,Make & Create
7174-1,Banana,2007,8,Make & Create
7175-1,Grapes,2007,10,Make & Create
7176-1,Watermelon - Capespan Promotional,2007,21,Make & Create
7177-1,Orange,2007,8,Make & Create
7178-1,Chef,2007,5,Make & Create
7335-1,Foundation Set - Blue Bucket,2006,468,Make & Create
7336-1,Foundation Set - Red Bucket,2006,427,Make & Create
7793-1,Standard Starter Set,2006,487,Make & Create
7795-1,Deluxe Starter Set,2006,1104,Make & Create
MAKE-1,Make and Create Basic Set (Toyfair Nuernberg Promotion),2003,16,Make & Create
10655-1,Monster Trucks,2013,197,Bricks & More
10656-1,My First LEGO Princess,2013,88,Bricks & More
10657-1,My First LEGO Set,2013,148,Bricks & More
10659-1,Blue Suitcase,2013,152,Bricks & More
10661-1,My First LEGO Fire Station,2013,90,Bricks & More
10662-1,Creative Bucket,2013,607,Bricks & More
10663-1,Creative Chest,2013,608,Bricks & More
10664-1,Creative Tower,2013,1600,Bricks & More
10681-1,Creative Building Cube,2014,600,Bricks & More
10682-1,Creative Suitcase,2014,1017,Bricks & More
4540315-1,Creative Bucket (TRU Exclusive),2009,480,Bricks & More
4586940-1,Basic Set Limited Edition,2010,480,Bricks & More
4625-1,Pink Brick Box,2012,224,Bricks & More
4626-1,Farm Brick Box,2012,232,Bricks & More
4628-1,Fun With Bricks,2012,600,Bricks & More
4630-1,Build and Play Box,2012,1000,Bricks & More
4635-1,Fun with Vehicles,2012,530,Bricks & More
4636-1,Police Building Set,2012,130,Bricks & More
4637-1,Safari Building Set,2012,152,Bricks & More
5487-1,Fun with LEGO Bricks,2009,700,Bricks & More
5489-1,Ultimate LEGO Vehicle Building Set,2009,680,Bricks & More
5508-1,Deluxe Brick Box,2010,704,Bricks & More
5512-1,XXL Box,2010,1600,Bricks & More
5522-1,Golden Anniversary Set,2008,700,Bricks & More
5529-1,Basic Bricks,2010,326,Bricks & More
5529-2,Basic Bricks Limited Edition,2010,326,Bricks & More
5539-1,Creative Bucket,2009,480,Bricks & More
5549-1,Building Fun,2010,651,Bricks & More
5560-1,Large Pink Brick Box,2009,402,Bricks & More
5573-1,Build & Play,2008,646,Bricks & More
5573-2,Build & Play [Red Tub],2009,648,Bricks & More
5574-1,Basic Bricks,2008,280,Bricks & More
5576-1,Basic Bricks - Medium,2008,378,Bricks & More
5578-1,Basic Bricks Large,2008,500,Bricks & More
5582-1,Ultimate Town Building Set,2008,697,Bricks & More
5584-1,Fun with Wheels,2008,648,Bricks & More
5585-1,Pink Brick Box,2008,216,Bricks & More
5587-1,Basic Bricks with Fun Figures,2009,390,Bricks & More
5589-1,Giant Box,2009,1600,Bricks & More
5623-1,Basic Bricks Large,2010,450,Bricks & More
5749-1,Creative Building Kit,2011,650,Bricks & More
5898-1,Car Building Set,2010,139,Bricks & More
5899-1,House Building Set,2010,134,Bricks & More
5929-1,Knight and Castle,2011,145,Bricks & More
5930-1,Road Construction,2011,121,Bricks & More
5932-1,My First LEGO Set,2011,231,Bricks & More
5933-1,Airport,2011,310,Bricks & More
6053-1,My First LEGO Town,2011,709,Bricks & More
6117-1,Doors and Windows,2008,100,Bricks & More
6118-1,Wheels,2008,106,Bricks & More
6119-1,Roof Tiles,2008,150,Bricks & More
6131-1,Build and Play,2011,650,Bricks & More
6177-1,Basic Bricks - Deluxe,2008,650,Bricks & More
6186-1,Build Your Own LEGO Harbor,2008,252,Bricks & More
6187-1,Road Construction Set,2008,300,Bricks & More
6191-1,Fire Fighter Building Set,2009,117,Bricks & More
6192-1,Pirates Building Set,2009,150,Bricks & More
6193-1,Castle Building Set,2009,137,Bricks & More
6194-1,My LEGO Town,2009,516,Bricks & More
620-3,Blue Building Plate 32 x 32,2010,1,Bricks & More
66237-1,Build & Play Value Pack,2008,0,Bricks & More
66284-1,Build and Play Value Pack,2009,0,Bricks & More
66313-1,Make & Create Value Pack,2008,0,Bricks & More
66340-1,Carrefour Value Pack,2009,0,Bricks & More
66380-1,Creative Value Pack (TRU UK Exclusive),2011,0,Bricks & More
7615-1,Basic Blue Bucket,2009,479,Bricks & More
7616-1,Basic Red Bucket,2009,428,Bricks & More
10036-1,Pizza To Go,2002,151,Town
10037-1,Breezeway Cafe,2002,195,Town
10041-1,Main Street,2003,640,Town
10156-1,LEGO Truck,2004,105,Town
10159-2,City Airport (Full Size Image Box),2004,914,Town
1029-1,Milk Delivery Truck - Tine,1999,91,Town
1100-1,Sky Pirates,2001,110,Town
1246-1,Helicopter,1999,27,Town
1247-1,Patrol Car,1999,33,Town
1248-1,Fire Boat,1999,25,Town
1249-1,Tri-motorbike,1999,22,Town
1250-1,Dragster,1999,26,Town
1251-1,Go-Cart,1999,27,Town
1253-1,Shell Car Transporter,1999,102,Town
1692-1,Loader Tractor,1990,24,Town
2148-2,LEGO Truck [Lego Toy Fair 1998 25th Anniversary Edition],1998,105,Town
23-2,Value pack Italy,1995,0,Town
2531-1,Rescue Helicopter and Jeep,1998,99,Town
2532-1,Aircraft and Ground Crew,1998,143,Town
2535-1,Formula 1 Racing Car,1998,31,Town
2554-1,Formula 1 Pit Stop,1998,173,Town
2584-1,Biker Bob,1998,22,Town
2769-1,Aircraft and Boat,1999,98,Town
2774-1,Airshow (Red Tiger),1999,141,Town
3056-1,Go-Kart,1998,23,Town
3439-1,Spy Runner,2000,119,Town
3442-1,LEGOLAND California Truck,1998,106,Town
4108-1,T-Junction Road Plates,2002,2,Town
4109-1,Curved Road Plates,2002,2,Town
4110-1,Straight Road Plates,2002,2,Town
4111-1,Cross Road Plates,2002,2,Town
4778-1,Desert Biplane,2005,109,Town
78579-1,Action Pack (Target Exclusive),1998,0,Town
78579-2,Action Pack,1998,0,Town
SHTOWN99SMALL-1,Shell Promotional Sets,1999,0,Town
6520-1,Mobile Outpost,2000,219,Arctic
6569-1,Polar Scout / Polar Explorer Co-Pack,2000,0,Arctic
6570-1,Snowmobile,1998,44,Arctic
6573-1,Arctic Expedition,2000,121,Arctic
6575-1,Polar Base,2000,441,Arctic
6576-1,Sledge,1998,24,Arctic
6577-1,Snow Scooter,2000,21,Arctic
6578-1,Polar Explorer,2000,22,Arctic
6579-1,Ice Surfer,2000,43,Arctic
6586-1,Polar Scout,2000,56,Arctic
6626-2,Snow Scooter,2000,20,Arctic
30016-1,Small Satellite,2011,35,City
30224-1,Lawn Mower,2013,42,City
30314-1,Go-Kart Racer,2015,45,City
30315-1,Space Utility Vehicle,2015,39,City
30350-1,Volcano Jackhammer,2016,53,City
30356-1,Hot Dog Stand,2018,43,City
30358-1,Dragster,2018,40,City
30364-1,Popcorn Cart,2019,43,City
30369-1,Beach Buggy,2020,45,City
30370-1,Ocean Diver,2020,22,City
30568-1,Skater,2021,40,City
30569-1,LEGO Stand,2021,47,City
30570-1,Wildlife Rescue Hovercraft,2021,35,City
30588-1,Kids' Playground,2022,51,City
30589-1,Go-Kart Racer,2022,39,City
30639-1,Dog Park and Scooter,2023,24,City
3365-1,Moon Buggy,2011,37,City
3366-1,Satellite Launch Pad,2011,165,City
3367-1,Space Shuttle,2011,231,City
3368-1,Rocket Launch Center,2011,499,City
40170-1,Build My City Accessory Set,2017,102,City
40303-1,Boost My City Vehicle Set,2018,80,City
40526-1,Electric Scooters & Charging Dock,2022,50,City
40578-1,Sandwich Shop,2022,110,City
4287744-1,City Value Pack,2005,0,City
4499536-1,Offre Speciale 4 Boites,2007,0,City
4499574-1,Tic Tac Toe,2006,71,City
4500744-1,Ludo,2006,358,City
5004404-1,Police Chase,2016,40,City
5004735-1,Space Port Collection,2015,0,City
5004736-1,Space Port Shuttle Collection,2015,0,City
5004737-1,Deep Sea Explorers Collection,2015,0,City
5005408-1,Summer Fun Kit,2017,0,City
5005554-1,City Easter Bundle,2018,0,City
60023-1,City Starter Set,2013,272,City
60025-1,Grand Prix Truck,2013,323,City
60027-1,Monster Truck Transporter,2013,307,City
60053-1,Race Car,2014,100,City
60054-1,Light Repair Truck,2014,95,City
60055-1,Monster Truck,2014,78,City
60056-1,Tow Truck,2014,227,City
60057-1,Camper Van,2014,195,City
60058-1,SUV with Watercraft,2014,219,City
60059-1,Logging Truck,2014,228,City
60077-1,Space Starter Set,2015,107,City
60078-1,Utility Shuttle,2015,155,City
60079-1,Training Jet Transporter,2015,448,City
60080-1,Spaceport,2015,586,City
60084-1,Racing Bike Transporter,2015,178,City
60086-1,City Starter Set,2015,242,City
60090-1,Deep Sea Scuba Scooter,2015,42,City
60091-1,Deep Sea Starter Set,2015,90,City
60092-1,Deep Sea Submarine,2015,274,City
60093-1,Deep Sea Helicopter,2015,388,City
60095-1,Deep Sea Exploration Vessel,2015,718,City
60096-1,Deep Sea Operation Base,2015,907,City
60113-1,Rally Car,2016,104,City
60114-1,Race Boat,2016,95,City
60118-1,Garbage Truck,2016,248,City
60120-1,Volcano Starter Set,2016,83,City
60121-1,Volcano Exploration Truck,2016,175,City
60122-1,Volcano Crawler,2016,324,City
60123-1,Volcano Supply Helicopter,2016,330,City
60124-1,Volcano Exploration Base,2016,824,City
60125-1,Volcano Heavy-Lift Helicopter,2016,1277,City
60134-1,People Pack - Fun in the Park,2016,159,City
60146-1,Stunt Truck,2017,91,City
60149-1,4x4 with Catamaran,2017,198,City
60151-1,Dragster Transporter,2017,333,City
60153-1,People Pack - Fun At The Beach,2017,169,City
60182-1,Pickup & Caravan,2018,344,City
60202-1,People Pack - Outdoor Adventures,2018,164,City
60203-1,Ski Resort,2019,806,City
60220-1,Garbage Truck,2019,90,City
60222-1,Snow Groomer,2019,197,City
60232-1,Garage Center,2019,234,City
60233-1,Donut Shop Opening,2019,790,City
60234-1,People Pack - Fun Fair,2019,184,City
60236-1,Straight and T-junction,2019,2,City
60237-1,Curve and Crossroad,2019,2,City
60240-1,Kayak Adventure,2019,84,City
60250-1,Mail Plane,2020,74,City
60251-1,Monster Truck,2020,55,City
60253-1,Ice-cream Truck,2020,200,City
60254-1,Race Boat Transporter,2020,239,City
60255-1,Stunt Team,2020,62,City
60257-1,Service Station,2020,354,City
60258-1,Tuning Workshop,2020,897,City
60263-1,Ocean Mini Submarine,2020,41,City
60264-1,Ocean Exploration Submarine,2020,286,City
60265-1,Ocean Exploration Base,2020,497,City
60266-1,Ocean Exploration Ship,2020,747,City
60271-1,Main Square,2020,1517,City
60283-1,Holiday Camper Van,2021,190,City
60285-1,Sports Car,2021,89,City
60289-1,Airshow Jet Transporter,2021,281,City
60290-1,Skate Park,2021,195,City
60291-1,Family House,2021,388,City
60292-1,Town Center,2021,791,City
60300-1,Wildlife Rescue ATV,2021,74,City
60301-1,Wildlife Rescue Off-Roader,2021,159,City
60302-1,Wildlife Rescue Operation,2021,525,City
60304-1,Road Plates,2021,112,City
60305-1,Car Transporter,2021,342,City
60306-1,Shopping Street,2021,533,City
60307-1,Wildlife Rescue Camp,2021,503,City
60308-1,Seaside Police and Fire Mission,2021,297,City
60313-1,Space Ride Amusement Truck,2022,433,City
60322-1,Race Car,2022,46,City
60323-1,Stunt Plane,2022,59,City
60326-1,Picnic in the Park,2022,147,City
60327-1,Horse Transporter,2022,196,City
60328-1,Beach Lifeguard Station,2022,211,City
60329-1,School Day,2022,433,City
60343-1,Rescue Helicopter Transport,2022,215,City
60347-1,Grocery Store,2022,404,City
60347-2,ASDA Grocery Store,2022,405,City
60348-1,Lunar Roving Vehicle,2022,275,City
60349-1,Lunar Space Station,2022,500,City
60350-1,Lunar Research Base,2022,794,City
60351-1,Rocket Launch Center,2022,1010,City
60353-1,Wild Animal Rescue Missions,2022,246,City
60354-1,Mars Spacecraft Exploration Missions,2022,298,City
60355-1,Water Police Detective Missions,2022,278,City
60362-1,Car Wash,2023,243,City
60363-1,Ice Cream Shop,2023,296,City
60364-1,Street Skate Park,2023,454,City
60365-1,Apartment Building,2023,686,City
60366-1,Ski and Climbing Center,2023,1045,City
60368-1,Arctic Explorer Ship,2023,817,City
60371-1,Emergency Vehicles HQ,2023,706,City
60376-1,Arctic Explorer Snowmobile,2023,70,City
60377-1,Explorer Diving Boat,2023,182,City
60378-1,Arctic Explorer Truck and Mobile Lab,2023,489,City
60379-1,Deep-Sea Explorer Submarine,2023,842,City
60380-1,Downtown,2023,2010,City
60382-1,Vet Van Rescue,2023,58,City
60384-1,Penguin Slushy Van,2023,194,City
60386-1,Recycling Truck,2023,261,City
60388-1,Gaming Tournament Truck,2023,344,City
60389-1,Custom Car Garage,2023,515,City
60391-1,Construction Trucks and Wrecking Ball Crane,2023,235,City
60395-1,Combo Race Pack,2023,362,City
60396-1,Modified Race Cars,2023,359,City
60397-1,Monster Truck Race,2023,301,City
60398-1,Family House and Electric Car,2023,462,City
65809-1,City Value Pack,2005,0,City
66116-1,City Emergency Services Vehicles (Multipack),2006,0,City
66175-1,City Rescue Pack,2007,0,City
66177-1,City Rescue Pack,2007,0,City
66184-1,City Value Pack,2007,0,City
66213-1,City Value Pack,2007,0,City
66247-1,City Super Pack,2008,0,City
66255-1,City Super Pack 6 in 1,2008,0,City
66256-1,City Super Pack,2008,0,City
66258-1,City Super Pack,2008,0,City
66263-1,City Value Pack,2008,0,City
66307-1,City Superpack 3 in 1,2009,0,City
66326-1,City Super Pack 4 in 1,2009,0,City
66328-1,City Super Pack 6 in 1,2009,0,City
66329-1,City Super Pack 3 in 1,2009,0,City
